CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,CNT_FAM_MEMBERS,paid_off,#_of_pastdues,no_loan,target
F,N,Y,112500.0,Working,secondary,Single,House / apartment,30.04931506849315,-4.438356164383562,3.0,0,3,14,0
M,Y,Y,270000.0,Working,secondary,Married,House / apartment,34.76438356164383,-3.186301369863014,8.0,16,1,0,1
M,Y,Y,270000.0,Working,secondary,Married,House / apartment,34.76438356164383,-3.186301369863014,8.0,16,1,0,1
M,N,Y,405000.0,Working,Higher education,Married,House / apartment,32.443835616438356,-5.523287671232877,4.0,0,29,2,0
M,N,Y,405000.0,Working,Higher education,Married,House / apartment,32.443835616438356,-5.523287671232877,4.0,4,10,0,0
M,N,Y,405000.0,Working,Higher education,Married,House / apartment,32.443835616438356,-5.523287671232877,4.0,46,10,0,1
M,N,Y,405000.0,Working,Higher education,Married,House / apartment,32.443835616438356,-5.523287671232877,4.0,0,4,1,0
M,N,Y,405000.0,Working,Higher education,Married,House / apartment,32.443835616438356,-5.523287671232877,4.0,0,9,0,0
M,N,Y,405000.0,Working,Higher education,Married,House / apartment,32.443835616438356,-5.523287671232877,4.0,20,10,0,1
M,Y,Y,112500.0,Working,secondary,Married,House / apartment,56.16986301369863,-12.191780821917808,2.0,7,26,0,0
M,Y,Y,112500.0,Working,secondary,Married,House / apartment,56.16986301369863,-12.191780821917808,2.0,0,12,0,0
M,Y,Y,112500.0,Working,secondary,Married,House / apartment,56.16986301369863,-12.191780821917808,2.0,7,26,0,0
M,Y,Y,112500.0,Working,secondary,Married,House / apartment,56.16986301369863,-12.191780821917808,2.0,6,5,1,1
M,Y,Y,112500.0,Working,secondary,Married,House / apartment,56.16986301369863,-12.191780821917808,2.0,0,26,0,0
M,Y,Y,112500.0,Working,secondary,Married,House / apartment,56.16986301369863,-12.191780821917808,2.0,0,12,0,0
M,Y,Y,112500.0,Working,secondary,Married,House / apartment,56.16986301369863,-12.191780821917808,2.0,0,1,0,0
M,Y,Y,112500.0,Working,secondary,Married,House / apartment,56.16986301369863,-12.191780821917808,2.0,5,11,0,0
F,Y,Y,135000.0,Working,secondary,Married,House / apartment,43.18082191780822,-8.693150684931506,6.0,0,2,0,0
F,Y,Y,135000.0,Working,secondary,Married,House / apartment,43.18082191780822,-8.693150684931506,6.0,22,6,1,1
F,Y,Y,135000.0,Working,secondary,Married,House / apartment,43.18082191780822,-8.693150684931506,6.0,0,4,0,0
F,Y,Y,135000.0,Working,secondary,Married,House / apartment,43.18082191780822,-8.693150684931506,6.0,0,0,28,1
F,Y,Y,135000.0,Working,secondary,Married,House / apartment,43.18082191780822,-8.693150684931506,6.0,1,10,0,0
F,Y,Y,135000.0,Working,secondary,Married,House / apartment,43.18082191780822,-8.693150684931506,6.0,0,5,0,0
F,Y,Y,135000.0,Working,secondary,Married,House / apartment,43.18082191780822,-8.693150684931506,6.0,0,3,1,0
F,Y,Y,135000.0,Working,secondary,Married,House / apartment,43.18082191780822,-8.693150684931506,6.0,0,3,1,0
F,Y,Y,135000.0,Working,secondary,Married,House / apartment,43.18082191780822,-8.693150684931506,6.0,0,2,1,0
F,Y,Y,135000.0,Working,secondary,Married,House / apartment,43.18082191780822,-8.693150684931506,6.0,0,2,0,0
F,Y,Y,135000.0,Working,secondary,Married,House / apartment,43.18082191780822,-8.693150684931506,6.0,0,2,1,0
F,Y,Y,135000.0,Working,secondary,Married,House / apartment,43.18082191780822,-8.693150684931506,6.0,0,2,0,0
F,Y,Y,135000.0,Working,secondary,Married,House / apartment,43.18082191780822,-8.693150684931506,6.0,0,2,0,0
F,Y,Y,135000.0,Working,secondary,Married,House / apartment,43.18082191780822,-8.693150684931506,6.0,0,2,2,0
F,Y,Y,135000.0,Working,secondary,Married,House / apartment,43.18082191780822,-8.693150684931506,6.0,4,0,0,1
F,N,Y,211500.0,Working,secondary,Married,House / apartment,44.416438356164385,-19.44931506849315,4.0,0,25,0,0
F,N,Y,211500.0,Working,secondary,Married,House / apartment,44.416438356164385,-19.44931506849315,4.0,0,12,0,0
M,Y,Y,360000.0,Working,secondary,Married,House / apartment,45.67123287671233,-14.695890410958905,2.0,0,9,2,0
F,N,Y,126000.0,Working,Higher education,Married,House / apartment,34.0027397260274,-4.857534246575343,6.0,16,6,0,1
F,N,Y,126000.0,Working,Higher education,Married,House / apartment,34.0027397260274,-4.857534246575343,6.0,40,6,0,1
F,N,Y,126000.0,Working,Higher education,Married,House / apartment,34.0027397260274,-4.857534246575343,6.0,31,9,0,1
F,N,Y,126000.0,Working,Higher education,Married,House / apartment,34.0027397260274,-4.857534246575343,6.0,41,3,0,1
F,N,Y,126000.0,Working,Higher education,Married,House / apartment,34.0027397260274,-4.857534246575343,6.0,2,6,0,0
F,N,Y,126000.0,Working,Higher education,Married,House / apartment,34.0027397260274,-4.857534246575343,6.0,0,12,0,0
F,N,Y,126000.0,Working,Higher education,Married,House / apartment,34.0027397260274,-4.857534246575343,6.0,16,6,0,1
F,N,Y,126000.0,Working,Higher education,Married,House / apartment,34.0027397260274,-4.857534246575343,6.0,5,6,0,0
F,N,Y,126000.0,Working,Higher education,Married,House / apartment,34.0027397260274,-4.857534246575343,6.0,14,6,0,1
F,N,Y,126000.0,Working,Higher education,Married,House / apartment,34.0027397260274,-4.857534246575343,6.0,31,9,0,1
F,N,Y,315000.0,Pensioner,secondary,Single,House / apartment,55.3041095890411,1000.6657534246575,1.0,23,4,14,1
F,N,Y,247500.0,Working,Higher education,Single,House / apartment,46.61917808219178,-3.6904109589041094,1.0,0,4,2,0
F,N,Y,247500.0,Working,Higher education,Single,House / apartment,46.61917808219178,-3.6904109589041094,1.0,0,3,2,0
F,N,Y,247500.0,Working,Higher education,Single,House / apartment,46.61917808219178,-3.6904109589041094,1.0,0,4,2,0
F,N,Y,247500.0,Working,Higher education,Single,House / apartment,46.61917808219178,-3.6904109589041094,1.0,0,4,2,0
F,N,Y,297000.0,Working,secondary,Single,House / apartment,42.51780821917808,-8.860273972602739,1.0,7,1,0,1
F,N,Y,297000.0,Working,secondary,Single,House / apartment,42.51780821917808,-8.860273972602739,1.0,15,1,0,1
F,N,Y,297000.0,Working,secondary,Single,House / apartment,42.51780821917808,-8.860273972602739,1.0,37,0,0,1
F,N,Y,297000.0,Working,secondary,Single,House / apartment,42.51780821917808,-8.860273972602739,1.0,37,0,0,1
F,N,Y,297000.0,Working,secondary,Single,House / apartment,42.51780821917808,-8.860273972602739,1.0,35,0,0,1
F,N,Y,297000.0,Working,secondary,Single,House / apartment,42.51780821917808,-8.860273972602739,1.0,15,1,0,1
F,N,Y,297000.0,Working,secondary,Single,House / apartment,42.51780821917808,-8.860273972602739,1.0,15,1,0,1
F,N,Y,297000.0,Working,secondary,Single,House / apartment,42.51780821917808,-8.860273972602739,1.0,21,0,0,1
F,N,Y,297000.0,Working,secondary,Single,House / apartment,42.51780821917808,-8.860273972602739,1.0,15,1,0,1
F,N,Y,297000.0,Working,secondary,Single,House / apartment,42.51780821917808,-8.860273972602739,1.0,21,0,0,1
F,N,Y,297000.0,Working,secondary,Single,House / apartment,42.51780821917808,-8.860273972602739,1.0,15,1,0,1
F,N,Y,297000.0,Working,secondary,Single,House / apartment,42.51780821917808,-8.860273972602739,1.0,9,11,1,0
F,N,Y,297000.0,Working,secondary,Single,House / apartment,42.51780821917808,-8.860273972602739,1.0,15,1,0,1
F,N,Y,297000.0,Working,secondary,Single,House / apartment,42.51780821917808,-8.860273972602739,1.0,9,11,1,0
F,N,Y,297000.0,Working,secondary,Single,House / apartment,42.51780821917808,-8.860273972602739,1.0,15,1,0,1
F,N,Y,297000.0,Working,secondary,Single,House / apartment,42.51780821917808,-8.860273972602739,1.0,9,11,1,0
F,N,Y,297000.0,Working,secondary,Single,House / apartment,42.51780821917808,-8.860273972602739,1.0,15,1,0,1
F,N,Y,297000.0,Working,secondary,Single,House / apartment,42.51780821917808,-8.860273972602739,1.0,9,11,1,0
F,N,Y,297000.0,Working,secondary,Single,House / apartment,42.51780821917808,-8.860273972602739,1.0,15,1,0,1
F,N,Y,297000.0,Working,secondary,Single,House / apartment,42.51780821917808,-8.860273972602739,1.0,9,11,1,0
F,N,Y,297000.0,Working,secondary,Single,House / apartment,42.51780821917808,-8.860273972602739,1.0,15,1,0,1
F,N,Y,297000.0,Working,secondary,Single,House / apartment,42.51780821917808,-8.860273972602739,1.0,9,11,1,0
F,N,Y,297000.0,Working,secondary,Single,House / apartment,42.51780821917808,-8.860273972602739,1.0,15,1,0,1
F,N,Y,297000.0,Working,secondary,Single,House / apartment,42.51780821917808,-8.860273972602739,1.0,7,11,1,0
F,N,Y,297000.0,Working,secondary,Single,House / apartment,42.51780821917808,-8.860273972602739,1.0,15,1,0,1
F,N,Y,297000.0,Working,secondary,Single,House / apartment,42.51780821917808,-8.860273972602739,1.0,6,11,1,0
F,N,Y,297000.0,Working,secondary,Single,House / apartment,42.51780821917808,-8.860273972602739,1.0,15,1,0,1
F,N,Y,297000.0,Working,secondary,Single,House / apartment,42.51780821917808,-8.860273972602739,1.0,5,11,1,0
F,N,Y,297000.0,Working,secondary,Single,House / apartment,42.51780821917808,-8.860273972602739,1.0,15,1,0,1
F,N,Y,297000.0,Working,secondary,Single,House / apartment,42.51780821917808,-8.860273972602739,1.0,4,11,1,0
F,N,Y,297000.0,Working,secondary,Single,House / apartment,42.51780821917808,-8.860273972602739,1.0,13,1,0,1
F,N,Y,297000.0,Working,secondary,Single,House / apartment,42.51780821917808,-8.860273972602739,1.0,2,11,1,0
F,N,Y,297000.0,Working,secondary,Single,House / apartment,42.51780821917808,-8.860273972602739,1.0,12,1,0,1
F,N,Y,297000.0,Working,secondary,Single,House / apartment,42.51780821917808,-8.860273972602739,1.0,12,0,1,1
F,N,Y,297000.0,Working,secondary,Single,House / apartment,42.51780821917808,-8.860273972602739,1.0,12,1,0,1
F,N,Y,297000.0,Working,secondary,Single,House / apartment,42.51780821917808,-8.860273972602739,1.0,0,11,1,0
F,N,Y,297000.0,Working,secondary,Single,House / apartment,42.51780821917808,-8.860273972602739,1.0,9,1,0,1
F,N,Y,297000.0,Working,secondary,Single,House / apartment,42.51780821917808,-8.860273972602739,1.0,0,9,1,0
F,N,Y,297000.0,Working,secondary,Single,House / apartment,42.51780821917808,-8.860273972602739,1.0,7,1,0,1
F,N,Y,297000.0,Working,secondary,Single,House / apartment,42.51780821917808,-8.860273972602739,1.0,0,6,1,0
F,N,Y,297000.0,Working,secondary,Single,House / apartment,42.51780821917808,-8.860273972602739,1.0,5,1,0,1
F,N,Y,297000.0,Working,secondary,Single,House / apartment,42.51780821917808,-8.860273972602739,1.0,0,5,1,0
F,N,Y,297000.0,Working,secondary,Single,House / apartment,42.51780821917808,-8.860273972602739,1.0,5,1,0,1
F,N,Y,297000.0,Working,secondary,Single,House / apartment,42.51780821917808,-8.860273972602739,1.0,5,0,0,1
F,N,Y,297000.0,Working,secondary,Single,House / apartment,42.51780821917808,-8.860273972602739,1.0,4,1,0,1
F,N,Y,297000.0,Working,secondary,Single,House / apartment,42.51780821917808,-8.860273972602739,1.0,4,0,0,1
F,N,Y,297000.0,Working,secondary,Single,House / apartment,42.51780821917808,-8.860273972602739,1.0,1,1,0,0
F,N,Y,297000.0,Working,secondary,Single,House / apartment,42.51780821917808,-8.860273972602739,1.0,2,0,0,1
F,N,Y,297000.0,Working,secondary,Single,House / apartment,42.51780821917808,-8.860273972602739,1.0,1,0,0,1
F,N,Y,297000.0,Working,secondary,Single,House / apartment,42.51780821917808,-8.860273972602739,1.0,1,1,0,0
F,N,Y,297000.0,Working,secondary,Single,House / apartment,42.51780821917808,-8.860273972602739,1.0,8,0,0,1
F,N,N,157500.0,Working,Higher education,Married,House / apartment,37.37534246575343,-13.276712328767124,2.0,0,15,1,0
F,N,N,157500.0,Working,Higher education,Married,House / apartment,37.37534246575343,-13.276712328767124,2.0,0,0,15,1
F,N,N,157500.0,Working,Higher education,Married,House / apartment,37.37534246575343,-13.276712328767124,2.0,0,15,1,0
F,N,N,157500.0,Working,Higher education,Married,House / apartment,37.37534246575343,-13.276712328767124,2.0,0,15,1,0
F,N,N,157500.0,Working,Higher education,Married,House / apartment,37.37534246575343,-13.276712328767124,2.0,0,15,1,0
M,N,Y,135000.0,Working,secondary,Married,House / apartment,42.42191780821918,-3.8575342465753426,2.0,0,0,13,1
M,N,Y,135000.0,Working,secondary,Married,House / apartment,42.42191780821918,-3.8575342465753426,2.0,0,0,13,1
M,N,Y,135000.0,Working,secondary,Married,House / apartment,42.42191780821918,-3.8575342465753426,2.0,0,0,1,1
M,N,Y,135000.0,Working,secondary,Married,House / apartment,42.42191780821918,-3.8575342465753426,2.0,0,0,13,1
M,N,Y,225000.0,Working,secondary,Married,House / apartment,28.276712328767122,-7.693150684931507,4.0,40,6,0,1
M,N,Y,225000.0,Working,secondary,Married,House / apartment,28.276712328767122,-7.693150684931507,4.0,0,0,46,1
M,N,Y,225000.0,Working,secondary,Married,House / apartment,28.276712328767122,-7.693150684931507,4.0,0,0,28,1
M,N,Y,225000.0,Working,secondary,Married,House / apartment,28.276712328767122,-7.693150684931507,4.0,0,6,0,0
F,Y,Y,135000.0,Working,secondary,Married,House / apartment,48.726027397260275,-4.69041095890411,2.0,0,5,0,0
F,Y,Y,135000.0,Working,secondary,Married,House / apartment,48.726027397260275,-4.69041095890411,2.0,35,5,0,1
F,Y,Y,135000.0,Working,secondary,Married,House / apartment,48.726027397260275,-4.69041095890411,2.0,35,5,0,1
F,Y,Y,135000.0,Working,secondary,Married,House / apartment,48.726027397260275,-4.69041095890411,2.0,0,4,0,0
F,Y,Y,135000.0,Working,secondary,Married,House / apartment,48.726027397260275,-4.69041095890411,2.0,4,12,0,0
F,Y,Y,135000.0,Working,secondary,Married,House / apartment,48.726027397260275,-4.69041095890411,2.0,17,12,0,1
F,Y,Y,135000.0,Working,secondary,Married,House / apartment,48.726027397260275,-4.69041095890411,2.0,17,9,1,1
F,Y,Y,135000.0,Working,secondary,Married,House / apartment,48.726027397260275,-4.69041095890411,2.0,29,9,1,1
M,N,Y,157500.0,Working,secondary,Married,House / apartment,43.90958904109589,-2.4356164383561643,2.0,0,15,1,0
M,N,Y,157500.0,Working,secondary,Married,House / apartment,43.90958904109589,-2.4356164383561643,2.0,0,14,8,0
M,N,Y,157500.0,Working,secondary,Married,House / apartment,43.90958904109589,-2.4356164383561643,2.0,0,5,0,0
M,N,Y,157500.0,Working,secondary,Married,House / apartment,43.90958904109589,-2.4356164383561643,2.0,0,5,0,0
F,N,Y,112500.0,Pensioner,secondary,Married,House / apartment,61.14794520547945,1000.6657534246575,2.0,0,2,1,0
F,N,Y,112500.0,Pensioner,secondary,Married,House / apartment,61.14794520547945,1000.6657534246575,2.0,0,21,1,0
F,N,Y,112500.0,Pensioner,secondary,Married,House / apartment,61.14794520547945,1000.6657534246575,2.0,0,2,0,0
F,N,Y,112500.0,Pensioner,secondary,Married,House / apartment,61.14794520547945,1000.6657534246575,2.0,0,24,0,0
F,N,Y,112500.0,Pensioner,secondary,Married,House / apartment,61.14794520547945,1000.6657534246575,2.0,0,21,1,0
F,N,Y,112500.0,Pensioner,secondary,Married,House / apartment,61.14794520547945,1000.6657534246575,2.0,30,8,0,1
F,N,Y,112500.0,Pensioner,secondary,Married,House / apartment,61.14794520547945,1000.6657534246575,2.0,33,18,0,1
M,Y,Y,112500.0,Working,secondary,Married,House / apartment,57.18904109589041,-6.523287671232877,2.0,0,0,11,1
M,Y,Y,112500.0,Working,secondary,Married,House / apartment,57.18904109589041,-6.523287671232877,2.0,0,0,12,1
M,Y,Y,112500.0,Working,secondary,Married,House / apartment,57.18904109589041,-6.523287671232877,2.0,3,0,56,1
M,Y,Y,112500.0,Working,secondary,Married,House / apartment,57.18904109589041,-6.523287671232877,2.0,0,0,11,1
M,Y,Y,112500.0,Working,secondary,Married,House / apartment,57.18904109589041,-6.523287671232877,2.0,8,3,0,1
M,Y,Y,112500.0,Working,secondary,Married,House / apartment,57.18904109589041,-6.523287671232877,2.0,0,0,17,1
F,Y,Y,270000.0,Working,secondary,Single,House / apartment,45.43013698630137,-3.271232876712329,1.0,0,26,3,0
F,Y,Y,270000.0,Working,secondary,Single,House / apartment,45.43013698630137,-3.271232876712329,1.0,5,1,1,1
F,Y,Y,270000.0,Working,secondary,Single,House / apartment,45.43013698630137,-3.271232876712329,1.0,0,18,0,0
F,Y,Y,270000.0,Working,secondary,Single,House / apartment,45.43013698630137,-3.271232876712329,1.0,0,17,3,0
F,Y,Y,270000.0,Working,secondary,Single,House / apartment,45.43013698630137,-3.271232876712329,1.0,0,18,1,0
F,Y,Y,270000.0,Working,secondary,Single,House / apartment,45.43013698630137,-3.271232876712329,1.0,0,19,1,0
F,Y,Y,270000.0,Working,Higher education,Married,House / apartment,29.117808219178084,-2.2684931506849315,2.0,0,0,4,1
F,Y,Y,270000.0,Working,Higher education,Married,House / apartment,29.117808219178084,-2.2684931506849315,2.0,0,0,4,1
M,Y,Y,157500.0,Working,secondary,Married,House / apartment,27.197260273972603,-2.2684931506849315,2.0,14,9,0,1
M,N,Y,166500.0,Working,secondary,Married,House / apartment,51.85205479452055,-17.194520547945206,2.0,0,6,1,0
M,N,Y,166500.0,Working,secondary,Married,House / apartment,51.85205479452055,-17.194520547945206,2.0,0,6,1,0
M,N,Y,166500.0,Working,secondary,Married,House / apartment,51.85205479452055,-17.194520547945206,2.0,0,6,1,0
M,N,Y,166500.0,Working,secondary,Married,House / apartment,51.85205479452055,-17.194520547945206,2.0,0,7,4,0
M,N,Y,166500.0,Working,secondary,Married,House / apartment,51.85205479452055,-17.194520547945206,2.0,0,7,4,0
M,N,Y,166500.0,Working,secondary,Married,House / apartment,51.85205479452055,-17.194520547945206,2.0,0,6,1,0
M,N,Y,166500.0,Working,secondary,Married,House / apartment,51.85205479452055,-17.194520547945206,2.0,0,7,4,0
M,N,Y,166500.0,Working,secondary,Married,House / apartment,51.85205479452055,-17.194520547945206,2.0,0,6,1,0
M,N,Y,166500.0,Working,secondary,Married,House / apartment,51.85205479452055,-17.194520547945206,2.0,0,3,3,0
M,N,Y,166500.0,Working,secondary,Married,House / apartment,51.85205479452055,-17.194520547945206,2.0,0,6,1,0
F,N,Y,216000.0,Working,Higher education,Married,House / apartment,42.31232876712329,-8.526027397260274,6.0,19,6,0,1
F,N,Y,216000.0,Working,Higher education,Married,House / apartment,42.31232876712329,-8.526027397260274,6.0,9,3,1,1
F,N,Y,216000.0,Working,Higher education,Married,House / apartment,42.31232876712329,-8.526027397260274,6.0,0,33,0,0
F,N,Y,216000.0,Working,Higher education,Married,House / apartment,42.31232876712329,-8.526027397260274,6.0,13,12,0,1
F,N,Y,216000.0,Working,Higher education,Married,House / apartment,42.31232876712329,-8.526027397260274,6.0,34,6,0,1
F,N,Y,216000.0,Working,Higher education,Married,House / apartment,42.31232876712329,-8.526027397260274,6.0,30,6,0,1
F,N,Y,216000.0,Working,Higher education,Married,House / apartment,42.31232876712329,-8.526027397260274,6.0,3,6,0,0
F,N,Y,216000.0,Working,Higher education,Married,House / apartment,42.31232876712329,-8.526027397260274,6.0,28,6,0,1
F,Y,Y,270000.0,Working,secondary,Married,House / apartment,54.413698630136984,-29.706849315068492,2.0,0,15,7,0
F,Y,Y,270000.0,Working,secondary,Married,House / apartment,54.413698630136984,-29.706849315068492,2.0,24,5,0,1
F,Y,Y,225000.0,Working,secondary,Married,House / apartment,39.58904109589041,-7.608219178082192,2.0,0,10,1,0
F,Y,Y,225000.0,Working,secondary,Married,House / apartment,39.58904109589041,-7.608219178082192,2.0,15,0,1,1
F,N,Y,315000.0,Working,secondary,Single,House / apartment,28.915068493150685,-3.271232876712329,1.0,2,2,10,0
F,N,Y,315000.0,Working,secondary,Single,House / apartment,28.915068493150685,-3.271232876712329,1.0,2,2,10,0
F,N,N,255150.0,Pensioner,Higher education,Married,House / apartment,51.18356164383562,1000.6657534246575,2.0,0,4,13,0
F,N,N,255150.0,Pensioner,Higher education,Married,House / apartment,51.18356164383562,1000.6657534246575,2.0,7,11,0,0
F,N,N,255150.0,Pensioner,Higher education,Married,House / apartment,51.18356164383562,1000.6657534246575,2.0,0,4,2,0
F,N,N,255150.0,Pensioner,Higher education,Married,House / apartment,51.18356164383562,1000.6657534246575,2.0,11,5,3,1
F,N,N,255150.0,Pensioner,Higher education,Married,House / apartment,51.18356164383562,1000.6657534246575,2.0,0,4,16,0
F,N,N,255150.0,Pensioner,Higher education,Married,House / apartment,51.18356164383562,1000.6657534246575,2.0,0,4,9,0
F,N,Y,157500.0,Working,secondary,Single,House / apartment,39.24931506849315,-1.5205479452054795,5.0,6,1,2,1
F,N,Y,157500.0,Working,secondary,Single,House / apartment,39.24931506849315,-1.5205479452054795,5.0,1,1,2,0
F,N,Y,148500.0,Working,Higher education,Married,House / apartment,48.33150684931507,-2.4356164383561643,2.0,0,8,13,0
F,N,Y,148500.0,Working,Higher education,Married,House / apartment,48.33150684931507,-2.4356164383561643,2.0,0,15,4,0
F,N,Y,148500.0,Working,Higher education,Married,House / apartment,48.33150684931507,-2.4356164383561643,2.0,0,14,1,0
F,N,Y,148500.0,Working,Higher education,Married,House / apartment,48.33150684931507,-2.4356164383561643,2.0,0,14,1,0
F,N,Y,148500.0,Working,Higher education,Married,House / apartment,48.33150684931507,-2.4356164383561643,2.0,0,4,4,0
F,N,Y,148500.0,Working,Higher education,Married,House / apartment,48.33150684931507,-2.4356164383561643,2.0,0,11,1,0
F,N,Y,202500.0,Working,Higher education,Married,House / apartment,30.12876712328767,-6.271232876712329,6.0,8,6,0,1
F,N,Y,202500.0,Working,Higher education,Married,House / apartment,30.12876712328767,-6.271232876712329,6.0,20,23,0,0
F,N,Y,202500.0,Working,Higher education,Married,House / apartment,30.12876712328767,-6.271232876712329,6.0,31,17,0,1
F,N,Y,202500.0,Working,Higher education,Married,House / apartment,30.12876712328767,-6.271232876712329,6.0,8,6,0,1
F,N,Y,202500.0,Working,Higher education,Married,House / apartment,30.12876712328767,-6.271232876712329,6.0,0,1,13,0
M,N,Y,202500.0,Working,secondary,Single,House / apartment,24.276712328767122,-2.4356164383561643,1.0,0,10,0,0
M,N,Y,202500.0,Working,secondary,Single,House / apartment,24.276712328767122,-2.4356164383561643,1.0,0,10,0,0
F,Y,Y,112500.0,Working,secondary,Single,House / apartment,20.517808219178082,-2.1835616438356165,1.0,0,0,1,1
F,N,Y,94500.0,Pensioner,Higher education,Married,House / apartment,61.18082191780822,1000.6657534246575,2.0,0,4,0,0
M,Y,Y,315000.0,Working,secondary,Married,House / apartment,28.63013698630137,-5.69041095890411,2.0,16,3,19,1
M,Y,Y,315000.0,Working,secondary,Married,House / apartment,28.63013698630137,-5.69041095890411,2.0,6,3,19,1
M,Y,Y,315000.0,Working,secondary,Married,House / apartment,28.63013698630137,-5.69041095890411,2.0,0,0,5,1
M,Y,Y,315000.0,Working,secondary,Married,House / apartment,28.63013698630137,-5.69041095890411,2.0,0,0,11,1
M,Y,Y,315000.0,Working,secondary,Married,House / apartment,28.63013698630137,-5.69041095890411,2.0,0,14,2,0
M,Y,Y,315000.0,Working,secondary,Married,House / apartment,28.63013698630137,-5.69041095890411,2.0,0,4,1,0
M,Y,Y,315000.0,Working,secondary,Married,House / apartment,28.63013698630137,-5.69041095890411,2.0,1,3,19,0
M,Y,Y,315000.0,Working,secondary,Married,House / apartment,28.63013698630137,-5.69041095890411,2.0,14,20,2,0
M,Y,Y,315000.0,Working,secondary,Married,House / apartment,28.63013698630137,-5.69041095890411,2.0,16,3,19,1
F,Y,Y,270000.0,Working,Higher education,Married,House / apartment,28.12054794520548,-8.693150684931506,2.0,9,7,5,1
F,Y,Y,270000.0,Working,Higher education,Married,House / apartment,28.12054794520548,-8.693150684931506,2.0,12,7,5,1
F,Y,Y,450000.0,Working,Higher education,Married,House / apartment,48.56438356164384,-1.9397260273972603,4.0,0,23,0,0
F,Y,Y,450000.0,Working,Higher education,Married,House / apartment,48.56438356164384,-1.9397260273972603,4.0,0,23,1,0
M,N,Y,180000.0,Working,secondary,Married,With parents,38.69041095890411,-3.5232876712328767,4.0,25,6,0,1
F,N,Y,112500.0,Working,Higher education,Married,House / apartment,27.572602739726026,-8.693150684931506,2.0,36,8,0,1
F,N,Y,112500.0,Working,Higher education,Married,House / apartment,27.572602739726026,-8.693150684931506,2.0,4,12,0,0
